Lab panel,Scoring data
Osteogenesis Imperfecta_1,"[['Fetal anomalies', 1.0, 0.002053388090349076, 0.002053388090349076], ['Skeletal dysplasia', 1.0, 0.0051813471502590676, 0.0051813471502590676], ['Severe Paediatric Disorders', 1.0, 0.0007695267410542517, 0.0007695267410542517], ['Osteogenesis imperfecta', 1.0, 0.06451612903225806, 0.06451612903225806], ['Paediatric disorders', 1.0, 0.0005104645227156713, 0.0005104645227156713], ['Thoracic aortic aneurysm or dissection', 1.0, 0.06451612903225806, 0.06451612903225806], ['Inherited bleeding disorders', 0.5, 0.009708737864077669, 0.0048543689320388345], ['DDG2P', 0.5, 0.0008382229673093043, 0.00041911148365465214], ['Ehlers Danlos syndromes', 1.0, 0.0425531914893617, 0.0425531914893617]]"
Osteogenesis imperfecta_2,"[['Fetal anomalies', 0.6666666666666666, 0.006160164271047228, 0.004106776180698152], ['Skeletal dysplasia', 1.0, 0.023316062176165803, 0.023316062176165803], ['Severe Paediatric Disorders', 0.8888888888888888, 0.0030781069642170067, 0.0027360950793040057], ['Osteogenesis imperfecta', 1.0, 0.2903225806451613, 0.2903225806451613], ['Paediatric disorders', 1.0, 0.002297090352220521, 0.002297090352220521], ['Thoracic aortic aneurysm or dissection', 0.2222222222222222, 0.06451612903225806, 0.014336917562724013], ['Arthrogryposis', 0.1111111111111111, 0.007575757575757576, 0.0008417508417508417], ['Inherited bleeding disorders', 0.1111111111111111, 0.009708737864077669, 0.0010787486515641855], ['DDG2P', 0.3333333333333333, 0.002514668901927913, 0.0008382229673093043], ['Ehlers Danlos syndromes', 0.2222222222222222, 0.0425531914893617, 0.009456264775413711]]"
Osteopathia striata with cranial sclerosis,"[['Fetal anomalies', 1.0, 0.001026694045174538, 0.001026694045174538], ['Skeletal dysplasia', 1.0, 0.0025906735751295338, 0.0025906735751295338], ['Severe Paediatric Disorders', 1.0, 0.00038476337052712584, 0.00038476337052712584], ['White matter disorders - childhood onset', 1.0, 0.00045024763619990995, 0.00045024763619990995], ['Hypotonic infant', 1.0, 0.00047393364928909954, 0.00047393364928909954], ['Paediatric disorders', 1.0, 0.00025523226135783564, 0.00025523226135783564], ['Intellectual disability', 1.0, 0.000877963125548727, 0.000877963125548727], ['DDG2P', 1.0, 0.0008382229673093043, 0.0008382229673093043], ['Clefting', 1.0, 0.006802721088435374, 0.006802721088435374], ['Osteopetrosis', 1.0, 0.05263157894736842, 0.05263157894736842]]"
Osteosclerosis,"[['Neuromuscular disorders', 0.1, 0.01098901098901099, 0.0010989010989010991], ['Nephrocalcinosis or nephrolithiasis', 0.03333333333333333, 0.034482758620689655, 0.0011494252873563218], ['Nephrolithiasis and Nephrocalcinosis_KidGen_VCGS', 0.03333333333333333, 0.034482758620689655, 0.0011494252873563218], ['Lysosomal storage disorder', 0.03333333333333333, 0.02, 0.0006666666666666666], ['Sarcoma cancer susceptibility', 0.03333333333333333, 0.16666666666666666, 0.005555555555555555], ['Distal myopathies', 0.06666666666666667, 0.08333333333333333, 0.005555555555555555], ['Polycystic liver disease interim', 0.03333333333333333, 0.1111111111111111, 0.0037037037037037034], ['Ectodermal dysplasia without a known gene mutation', 0.03333333333333333, 0.05, 0.0016666666666666668], ['Retinal disorders', 0.06666666666666667, 0.009950248756218905, 0.0006633499170812604], ['Early onset dementia (encompassing fronto-temporal dementia and prion disease)', 0.03333333333333333, 0.03571428571428571, 0.0011904761904761904], ['Undiagnosed metabolic disorders', 0.03333333333333333, 0.0015479876160990713, 5.159958720330238e-05], ['Fetal anomalies', 0.5, 0.015400410677618069, 0.0077002053388090345], ['Skeletal dysplasia', 0.8, 0.06217616580310881, 0.04974093264248705], ['Severe Paediatric Disorders', 0.9, 0.010388611004232396, 0.009349749903809157], ['Primary lymphoedema', 0.03333333333333333, 0.025, 0.0008333333333333334], ['Amelogenesis imperfecta', 0.03333333333333333, 0.03571428571428571, 0.0011904761904761904], ['White matter disorders - childhood onset', 0.2, 0.0027014858171994596, 0.000540297163439892], ['Craniosynostosis', 0.06666666666666667, 0.03636363636363636, 0.0024242424242424242], ['Bleeding and platelet disorders', 0.13333333333333333, 0.045454545454545456, 0.006060606060606061], ['Hypotonic infant', 0.3, 0.0042654028436018955, 0.0012796208530805686], ['Epidermolysis bullosa and congenital skin fragility', 0.03333333333333333, 0.03225806451612903, 0.001075268817204301], ['Primary immunodeficiency', 0.06666666666666667, 0.007782101167315175, 0.0005188067444876783], ['Osteogenesis imperfecta', 0.1, 0.0967741935483871, 0.00967741935483871], ['Amyotrophic lateral sclerosis/motor neuron disease', 0.06666666666666667, 0.09090909090909091, 0.006060606060606061], ['CAKUT', 0.03333333333333333, 0.018518518518518517, 0.0006172839506172839], ['Genetic epilepsy syndromes', 0.03333333333333333, 0.002352941176470588, 7.84313725490196e-05], ['Hypophosphataemia or rickets', 0.03333333333333333, 0.1, 0.0033333333333333335], ['Ductal plate malformation', 0.03333333333333333, 0.07692307692307693, 0.002564102564102564], ['Sarcoma susceptibility', 0.03333333333333333, 0.125, 0.004166666666666667], ['Paediatric disorders', 0.8, 0.006125574272588055, 0.004900459418070445], ['Thoracic aortic aneurysm or dissection', 0.06666666666666667, 0.06451612903225806, 0.004301075268817204], ['Structural eye disease', 0.03333333333333333, 0.008771929824561403, 0.00029239766081871346], ['Arthrogryposis', 0.03333333333333333, 0.007575757575757576, 0.0002525252525252525], ['Inherited bleeding disorders', 0.16666666666666666, 0.04854368932038835, 0.008090614886731391], ['Intellectual disability', 0.16666666666666666, 0.004389815627743635, 0.0007316359379572724], ['Limb disorders', 0.03333333333333333, 0.007194244604316547, 0.00023980815347721823], ['DDG2P', 0.4666666666666667, 0.01173512154233026, 0.005476390053087455], ['Renal superpanel - narrow', 0.06666666666666667, 0.006269592476489028, 0.00041797283176593517], ['Choanal atresia', 0.03333333333333333, 0.1111111111111111, 0.0037037037037037034], ['Clefting', 0.06666666666666667, 0.013605442176870748, 0.0009070294784580498], ['Neurodegenerative disorders - adult onset', 0.1, 0.02727272727272727, 0.0027272727272727275], ['Osteopetrosis', 0.6, 0.9473684210526315, 0.5684210526315789], ['Renal superpanel - broad', 0.06666666666666667, 0.0033112582781456954, 0.0002207505518763797], ['Hereditary ataxia - adult onset', 0.03333333333333333, 0.005376344086021506, 0.00017921146953405018], ['COVID-19 research', 0.36666666666666664, 0.02386117136659436, 0.008749096167751264], ['Renal tubulopathies', 0.03333333333333333, 0.02631578947368421, 0.0008771929824561403], ['Inborn errors of metabolism', 0.03333333333333333, 0.0014326647564469914, 4.775549188156638e-05], ['Multiple monogenic benign skin tumours', 0.03333333333333333, 0.2, 0.006666666666666667], ['Limb girdle muscular dystrophy', 0.03333333333333333, 0.01694915254237288, 0.0005649717514124294], ['Congenital myaesthenic syndrome', 0.03333333333333333, 0.038461538461538464, 0.001282051282051282], ['Infantile enterocolitis & monogenic inflammatory bowel disease', 0.03333333333333333, 0.0196078431372549, 0.00065359477124183], ['Hydrocephalus', 0.1, 0.043478260869565216, 0.004347826086956522], ['Ehlers Danlos syndromes', 0.06666666666666667, 0.0425531914893617, 0.0028368794326241132], ['Ectodermal dysplasia', 0.03333333333333333, 0.03333333333333333, 0.0011111111111111111]]"
Ovarian Cancer_ICE,"['Inherited ovarian cancer (without breast cancer)', 1, 1, 1]"
Overgrowth,"[['Beckwith-Wiedemann syndrome (BWS) and other congenital overgrowth disorders', 1.0, 0.42105263157894735, 0.42105263157894735], ['Hereditary ataxia and cerebellar anomalies - childhood onset', 0.125, 0.0036363636363636364, 0.00045454545454545455], ['Retinal disorders', 0.125, 0.004975124378109453, 0.0006218905472636816], ['Fetal anomalies', 0.875, 0.007186858316221766, 0.006288501026694045], ['Skeletal dysplasia', 0.75, 0.015544041450777202, 0.011658031088082901], ['Severe Paediatric Disorders', 1.0, 0.0030781069642170067, 0.0030781069642170067], ['Primary lymphoedema', 0.125, 0.025, 0.003125], ['White matter disorders - childhood onset', 0.875, 0.0031517334533993696, 0.0027577667717244483], ['Hypotonic infant', 0.875, 0.0033175355450236967, 0.0029028436018957346], ['Neurological ciliopathies', 0.125, 0.023255813953488372, 0.0029069767441860465], ['Childhood solid tumours cancer susceptibility', 0.125, 0.013888888888888888, 0.001736111111111111], ['Thoracic dystrophies', 0.125, 0.03571428571428571, 0.004464285714285714], ['CAKUT', 0.125, 0.018518518518518517, 0.0023148148148148147], ['Unexplained kidney failure in young people', 0.125, 0.012048192771084338, 0.0015060240963855422], ['Familial rhabdomyosarcoma', 0.125, 0.09090909090909091, 0.011363636363636364], ['Congenital adrenal hypoplasia', 0.125, 0.07692307692307693, 0.009615384615384616], ['Genetic epilepsy syndromes', 0.125, 0.002352941176470588, 0.0002941176470588235], ['IUGR and IGF abnormalities', 0.125, 0.010526315789473684, 0.0013157894736842105], ['Paediatric disorders', 1.0, 0.002041858090862685, 0.002041858090862685], ['Growth failure in early childhood', 0.125, 0.020833333333333332, 0.0026041666666666665], ['Cystic renal disease', 0.125, 0.01020408163265306, 0.0012755102040816326], ['Rare multisystem ciliopathy disorders', 0.125, 0.010869565217391304, 0.001358695652173913], ['Rare multisystem ciliopathy Super panel', 0.125, 0.0049504950495049506, 0.0006188118811881188], ['Intellectual disability', 0.875, 0.006145741878841089, 0.005377524143985953], ['Ophthalmological ciliopathies', 0.125, 0.017857142857142856, 0.002232142857142857], ['Unexplained paediatric onset end-stage renal disease', 0.125, 0.005555555555555556, 0.0006944444444444445], ['Disorders of sex development', 0.125, 0.027777777777777776, 0.003472222222222222], ['Limb disorders', 0.125, 0.007194244604316547, 0.0008992805755395684], ['DDG2P', 1.0, 0.006705783738474434, 0.006705783738474434], ['Renal superpanel - narrow', 0.25, 0.006269592476489028, 0.001567398119122257], ['Clefting', 0.375, 0.02040816326530612, 0.007653061224489796], ['Renal ciliopathies', 0.125, 0.0136986301369863, 0.0017123287671232876], ['Tumour predisposition - childhood onset', 0.5, 0.05, 0.025], ['Deafness and congenital structural abnormalities', 0.125, 0.023255813953488372, 0.0029069767441860465], ['Congenital hyperinsulinism', 0.125, 0.06666666666666667, 0.008333333333333333], ['Renal superpanel - broad', 0.25, 0.0033112582781456954, 0.0008278145695364238], ['Segmental overgrowth disorders', 0.125, 0.125, 0.015625], ['Hydrocephalus', 0.125, 0.014492753623188406, 0.0018115942028985507]]"
PGRN single gene,"[['Early onset dementia (encompassing fronto-temporal dementia and prion disease)', 1.0, 0.03571428571428571, 0.03571428571428571], ['Severe Paediatric Disorders', 1.0, 0.00038476337052712584, 0.00038476337052712584], ['Parkinson Disease and Complex Parkinsonism', 1.0, 0.022727272727272728, 0.022727272727272728], ['Neurodegenerative disorders - adult onset', 1.0, 0.00909090909090909, 0.00909090909090909], ['Adult onset movement disorder', 1.0, 0.013157894736842105, 0.013157894736842105]]"
Paediatric Cardiomyopathy,"[['Gene therapy clinical trials', 0.014084507042253521, 0.047619047619047616, 0.0006706908115358819], ['Neuromuscular disorders', 0.29577464788732394, 0.07692307692307693, 0.02275189599133261], ['Left Ventricular Noncompaction Cardiomyopathy', 0.08450704225352113, 1.0, 0.08450704225352113], ['Lysosomal storage disorder', 0.028169014084507043, 0.04, 0.0011267605633802818], ['Pain syndromes', 0.028169014084507043, 0.1, 0.0028169014084507044], ['Distal myopathies', 0.09859154929577464, 0.2916666666666667, 0.028755868544600938], ['Hereditary ataxia and cerebellar anomalies - childhood onset', 0.04225352112676056, 0.01090909090909091, 0.0004609475032010244], ['Paediatric disorders - additional genes', 0.04225352112676056, 0.21428571428571427, 0.009054325955734405], ['Pneumothorax - familial', 0.014084507042253521, 0.1, 0.0014084507042253522], ['Undiagnosed metabolic disorders', 0.2112676056338028, 0.02321981424148607, 0.004905594558060437], ['Lipodystrophy - childhood onset', 0.014084507042253521, 0.1, 0.0014084507042253522], ['Congenital myopathy', 0.07042253521126761, 0.08196721311475409, 0.005772338951743246], ['Fetal hydrops', 0.11267605633802817, 0.14814814814814814, 0.016692749087115284], ['Ketotic hypoglycaemia', 0.056338028169014086, 0.14814814814814814, 0.008346374543557642], ['Fetal anomalies', 0.30985915492957744, 0.022587268993839837, 0.006998872082598259], ['Gastrointestinal neuromuscular disorders', 0.028169014084507043, 0.13333333333333333, 0.003755868544600939], ['Skeletal dysplasia', 0.04225352112676056, 0.007772020725388601, 0.0003283952419178282], ['Severe Paediatric Disorders', 0.6197183098591549, 0.016929588303193535, 0.010491575849866415], ['Primary lymphoedema', 0.08450704225352113, 0.15, 0.012676056338028168], ['Cataracts', 0.014084507042253521, 0.010101010101010102, 0.00014226774790155073], ['White matter disorders - childhood onset', 0.323943661971831, 0.010355695632597929, 0.00335466196548947], ['Cardiac arrhythmias', 0.028169014084507043, 0.09090909090909091, 0.0025608194622279133], ['Hyperammonaemia', 0.09859154929577464, 0.16666666666666666, 0.016431924882629106], ['Craniosynostosis', 0.04225352112676056, 0.05454545454545454, 0.0023047375160051213], ['Hypotonic infant', 0.5070422535211268, 0.017061611374407582, 0.008650957879981309], ['Epidermolysis bullosa and congenital skin fragility', 0.028169014084507043, 0.06451612903225806, 0.001817355747387551], ['Possible mitochondrial disorder - nuclear genes', 0.028169014084507043, 0.009345794392523364, 0.00026326181387389757], ['Primary immunodeficiency', 0.028169014084507043, 0.007782101167315175, 0.00021921411738915988], ['RASopathies', 0.08450704225352113, 0.3, 0.025352112676056335], ['Childhood solid tumours cancer susceptibility', 0.08450704225352113, 0.08333333333333333, 0.00704225352112676], ['Long QT syndrome', 0.014084507042253521, 0.1, 0.0014084507042253522], ['Groopman et al 2019 - Genes with diagnostic variants', 0.014084507042253521, 0.047619047619047616, 0.0006706908115358819], ['Hereditary neuropathy', 0.08450704225352113, 0.0379746835443038, 0.0032091281868425743], ['Pigmentary skin disorders', 0.08450704225352113, 0.06, 0.0050704225352112674], ['Inherited white matter disorders', 0.014084507042253521, 0.008695652173913044, 0.00012247397428046542], ['Catecholaminergic polymorphic VT', 0.014084507042253521, 0.16666666666666666, 0.002347417840375587], ['Sudden cardiac death', 0.4788732394366197, 0.3541666666666667, 0.16960093896713616], ['Unexplained kidney failure in young people', 0.014084507042253521, 0.012048192771084338, 0.00016969285593076533], ['Familial rhabdomyosarcoma', 0.014084507042253521, 0.09090909090909091, 0.0012804097311139566], ['Neurofibromatosis Type 1', 0.028169014084507043, 0.08, 0.0022535211267605635], ['Genetic epilepsy syndromes', 0.1267605633802817, 0.021176470588235293, 0.002684341342170671], ['IUGR and IGF abnormalities', 0.08450704225352113, 0.06315789473684211, 0.005337286879169755], ['Ataxia and cerebellar anomalies - narrow panel', 0.04225352112676056, 0.019230769230769232, 0.0008125677139761647], ['Structural basal ganglia disorders', 0.04225352112676056, 0.046875, 0.0019806338028169014], ['Cytopenias and congenital anaemias', 0.014084507042253521, 0.010309278350515464, 0.0001452011035283868], ['Paediatric disorders', 0.43661971830985913, 0.007912200102092905, 0.0034546225797870427], ['Thoracic aortic aneurysm or dissection', 0.014084507042253521, 0.03225806451612903, 0.00045433893684688776], ['Growth failure in early childhood', 0.08450704225352113, 0.125, 0.01056338028169014], ['Cerebral malformations', 0.014084507042253521, 0.012048192771084338, 0.00016969285593076533], ['Structural eye disease', 0.014084507042253521, 0.008771929824561403, 0.00012354830738818879], ['Familial non syndromic congenital heart disease', 0.014084507042253521, 0.03571428571428571, 0.0005030181086519114], ['Familial cerebral small vessel disease', 0.014084507042253521, 0.08333333333333333, 0.0011737089201877935], ['Rhabdomyolysis and metabolic muscle disorders', 0.11267605633802817, 0.1702127659574468, 0.01917890320647288], ['Atypical haemolytic uraemic syndrome', 0.014084507042253521, 0.1111111111111111, 0.001564945226917058], ['Arthrogryposis', 0.07042253521126761, 0.03787878787878788, 0.0026675202731540762], ['Thoracic aortic aneurysm and dissection', 0.014084507042253521, 0.03125, 0.00044014084507042255], ['Epidermolysis bullosa', 0.028169014084507043, 0.10526315789473684, 0.0029651593773165306], ['Inherited bleeding disorders', 0.014084507042253521, 0.009708737864077669, 0.00013674278681799533], ['Intellectual disability', 0.22535211267605634, 0.014047410008779631, 0.003165613523105269], ['Hypertrophic cardiomyopathy - teen and adult', 0.23943661971830985, 0.8095238095238095, 0.1938296445338699], ['Palmoplantar keratodermas', 0.04225352112676056, 0.04838709677419355, 0.002044525215810995], ['ClinGen Gene Validity Curations', 0.014084507042253521, 0.038461538461538464, 0.0005417118093174432], ['Unexplained paediatric onset end-stage renal disease', 0.028169014084507043, 0.011111111111111112, 0.0003129890453834116], ['Mitochondrial disorders', 0.028169014084507043, 0.00796812749003984, 0.00022445429549408], ['Dilated Cardiomyopathy and conduction defects', 0.38028169014084506, 0.75, 0.2852112676056338], ['Hearing loss', 0.014084507042253521, 0.008695652173913044, 0.00012247397428046542], ['White matter disorders - adult onset', 0.028169014084507043, 0.02631578947368421, 0.0007412898443291327], ['Hereditary neuropathy NOT PMP22 copy number', 0.028169014084507043, 0.022727272727272728, 0.0006402048655569783], ['Amyloidosis', 0.014084507042253521, 0.14285714285714285, 0.0020120724346076456], ['Haematological malignancies for rare disease', 0.014084507042253521, 0.012048192771084338, 0.00016969285593076533], ['Progressive cardiac conduction disease', 0.11267605633802817, 0.7272727272727273, 0.08194622279129322], ['Monogenic diabetes', 0.014084507042253521, 0.02857142857142857, 0.00040241448692152917], ['Mucopolysaccharideosis, Gaucher, Fabry', 0.014084507042253521, 0.058823529411764705, 0.0008285004142502071], ['Glycogen storage disease', 0.04225352112676056, 0.10714285714285714, 0.0045271629778672025], ['DDG2P', 0.323943661971831, 0.019279128248113998, 0.006245351404318619], ['Insulin resistance (including lipodystrophy)', 0.014084507042253521, 0.06666666666666667, 0.0009389671361502347], ['Renal superpanel - narrow', 0.014084507042253521, 0.003134796238244514, 4.4152059693584704e-05], ['Adult solid tumours cancer susceptibility', 0.04225352112676056, 0.036585365853658534, 0.0015458605290278253], ['Clefting', 0.014084507042253521, 0.006802721088435374, 9.581297307655457e-05], ['Periodic fever syndromes', 0.014084507042253521, 0.047619047619047616, 0.0006706908115358819], ['Haematological malignancies cancer susceptibility', 0.014084507042253521, 0.011764705882352941, 0.00016570008285004143], ['Tumour predisposition - childhood onset', 0.04225352112676056, 0.0375, 0.001584507042253521], ['Arrhythmogenic cardiomyopathy', 0.1267605633802817, 0.8181818181818182, 0.10371318822023048], ['Idiopathic ventricular fibrillation', 0.014084507042253521, 1.0, 0.014084507042253521], ['Cytopenia - NOT Fanconi anaemia', 0.014084507042253521, 0.01818181818181818, 0.00025608194622279127], ['Neonatal cholestasis', 0.014084507042253521, 0.018518518518518517, 0.0002608242044861763], ['Dilated cardiomyopathy - adult and teen', 0.38028169014084506, 0.84375, 0.320862676056338], ['Mosaic skin disorders - deep sequencing', 0.04225352112676056, 0.11538461538461539, 0.004875406283856988], ['Ichthyosis and erythrokeratoderma', 0.04225352112676056, 0.058823529411764705, 0.0024855012427506215], ['Renal superpanel - broad', 0.04225352112676056, 0.004966887417218543, 0.00020986848241768492], ['Hereditary ataxia - adult onset', 0.028169014084507043, 0.010752688172043012, 0.00030289262456459186], ['COVID-19 research', 0.028169014084507043, 0.004338394793926247, 0.00012220830405426048], ['Hereditary ataxia', 0.028169014084507043, 0.015037593984962405, 0.00042359419675950437], ['Inborn errors of metabolism', 0.2112676056338028, 0.02148997134670487, 0.004540134791557367], ['Congenital disorders of glycosylation', 0.014084507042253521, 0.013157894736842105, 0.00018532246108228317], ['Malformations of cortical development', 0.014084507042253521, 0.015151515151515152, 0.0002134016218523261], ['Cerebellar hypoplasia', 0.014084507042253521, 0.023255813953488372, 0.00032754667540124465], ['Familial diabetes', 0.014084507042253521, 0.02, 0.00028169014084507044], ['Limb girdle muscular dystrophy', 0.2112676056338028, 0.2542372881355932, 0.053712103127238], ['White matter disorders and cerebral calcification - narrow panel', 0.014084507042253521, 0.007518796992481203, 0.00010589854918987609], ['Congenital muscular dystrophy', 0.056338028169014086, 0.1111111111111111, 0.006259780907668232], ['Childhood onset dystonia or chorea or related movement disorder', 0.028169014084507043, 0.013793103448275862, 0.00038853812530354544], ['Brugada syndrome', 0.014084507042253521, 1.0, 0.014084507042253521], ['Palmoplantar keratoderma and erythrokeratodermas', 0.04225352112676056, 0.08823529411764706, 0.0037282518641259324], ['Cardiomyopathies - including childhood onset', 0.7746478873239436, 0.39285714285714285, 0.3043259557344064], ['Hydrocephalus', 0.014084507042253521, 0.014492753623188406, 0.00020412329046744235], ['Ehlers Danlos syndromes', 0.014084507042253521, 0.02127659574468085, 0.00029967036260113877], ['Diabetes with additional phenotypes suggestive of a monogenic aetiology', 0.014084507042253521, 0.022727272727272728, 0.00032010243277848916], ['Vici Syndrome and other autophagy disorders', 0.014084507042253521, 0.09090909090909091, 0.0012804097311139566]]"
Pain - excess,"[['Vascular skin disorders', 0.25, 0.047619047619047616, 0.011904761904761904], ['Pain syndromes', 1.0, 0.2, 0.2], ['Gastrointestinal neuromuscular disorders', 0.25, 0.06666666666666667, 0.016666666666666666], ['Severe Paediatric Disorders', 0.5, 0.0007695267410542517, 0.00038476337052712584], ['Familial dysautonomia', 0.5, 0.14285714285714285, 0.07142857142857142], ['Hereditary neuropathy', 1.0, 0.02531645569620253, 0.02531645569620253], ['Paediatric disorders', 0.25, 0.00025523226135783564, 6.380806533945891e-05], ['Hereditary neuropathy NOT PMP22 copy number', 0.75, 0.03409090909090909, 0.025568181818181816], ['DDG2P', 0.25, 0.0008382229673093043, 0.00020955574182732607]]"
Pain - extended insensitivity,"[['Pain syndromes', 0.6363636363636364, 0.35, 0.22272727272727272], ['Mitochondrial DNA maintenance disorder', 0.09090909090909091, 0.045454545454545456, 0.004132231404958678], ['Paroxysmal central nervous system disorders', 0.09090909090909091, 0.05, 0.004545454545454546], ['Hereditary ataxia and cerebellar anomalies - childhood onset', 0.09090909090909091, 0.0036363636363636364, 0.00033057851239669424], ['Early onset dementia (encompassing fronto-temporal dementia and prion disease)', 0.09090909090909091, 0.03571428571428571, 0.0032467532467532465], ['Undiagnosed metabolic disorders', 0.2727272727272727, 0.0046439628482972135, 0.0012665353222628764], ['Fetal anomalies', 0.09090909090909091, 0.001026694045174538, 9.333582228859437e-05], ['Gastrointestinal neuromuscular disorders', 0.09090909090909091, 0.06666666666666667, 0.006060606060606061], ['Severe Paediatric Disorders', 0.8181818181818182, 0.0034628703347441324, 0.002833257546608836], ['Familial dysautonomia', 0.5454545454545454, 0.42857142857142855, 0.23376623376623373], ['White matter disorders - childhood onset', 0.45454545454545453, 0.0022512381809995496, 0.0010232900822725224], ['Hypotonic infant', 0.45454545454545453, 0.002369668246445498, 0.001077121930202499], ['Epidermolysis bullosa and congenital skin fragility', 0.09090909090909091, 0.03225806451612903, 0.002932551319648094], ['Possible mitochondrial disorder - nuclear genes', 0.09090909090909091, 0.004672897196261682, 0.00042480883602378925], ['Childhood solid tumours cancer susceptibility', 0.09090909090909091, 0.013888888888888888, 0.0012626262626262625], ['Hereditary neuropathy', 0.9090909090909091, 0.06329113924050633, 0.05753739930955121], ['Hereditary spastic paraplegia - childhood onset', 0.18181818181818182, 0.02857142857142857, 0.005194805194805195], ['Genetic epilepsy syndromes', 0.09090909090909091, 0.002352941176470588, 0.000213903743315508], ['Ataxia and cerebellar anomalies - narrow panel', 0.09090909090909091, 0.00641025641025641, 0.0005827505827505828], ['Hereditary spastic paraplegia', 0.18181818181818182, 0.027777777777777776, 0.00505050505050505], ['Paediatric disorders', 0.6363636363636364, 0.0017866258295048494, 0.0011369437096849042], ['Epidermolysis bullosa', 0.09090909090909091, 0.05263157894736842, 0.004784688995215311], ['Intellectual disability', 0.18181818181818182, 0.001755926251097454, 0.00031925931838135526], ['ClinGen Gene Validity Curations', 0.09090909090909091, 0.038461538461538464, 0.003496503496503497], ['Mitochondrial disorders', 0.09090909090909091, 0.00398406374501992, 0.0003621876131836291], ['Hearing loss', 0.09090909090909091, 0.008695652173913044, 0.0007905138339920949], ['Hereditary neuropathy NOT PMP22 copy number', 0.9090909090909091, 0.11363636363636363, 0.10330578512396693], ['DDG2P', 0.45454545454545453, 0.004191114836546521, 0.001905052198430237], ['Mitochondrial liver disease', 0.09090909090909091, 0.16666666666666666, 0.015151515151515152], ['Kleine-Levin syndrome', 0.09090909090909091, 1.0, 0.09090909090909091], ['Neonatal cholestasis', 0.09090909090909091, 0.018518518518518517, 0.0016835016835016834], ['Neurodegenerative disorders - adult onset', 0.09090909090909091, 0.00909090909090909, 0.0008264462809917355], ['Hereditary ataxia - adult onset', 0.09090909090909091, 0.005376344086021506, 0.0004887585532746823], ['Hereditary ataxia', 0.09090909090909091, 0.007518796992481203, 0.0006835269993164729], ['Inborn errors of metabolism', 0.2727272727272727, 0.004297994269340974, 0.0011721802552748112], ['Hereditary spastic paraplegia - adult onset', 0.18181818181818182, 0.025974025974025976, 0.004722550177095632]]"
Pain - insensitivity,"[['Vascular skin disorders', 0.3333333333333333, 0.047619047619047616, 0.015873015873015872], ['Pain syndromes', 1.0, 0.15, 0.15], ['Severe Paediatric Disorders', 0.6666666666666666, 0.0007695267410542517, 0.0005130178273695011], ['Familial dysautonomia', 1.0, 0.21428571428571427, 0.21428571428571427], ['White matter disorders - childhood onset', 0.3333333333333333, 0.00045024763619990995, 0.00015008254539996998], ['Hypotonic infant', 0.3333333333333333, 0.00047393364928909954, 0.0001579778830963665], ['Hereditary neuropathy', 1.0, 0.0189873417721519, 0.0189873417721519], ['Paediatric disorders', 0.3333333333333333, 0.00025523226135783564, 8.507742045261188e-05], ['Intellectual disability', 0.3333333333333333, 0.000877963125548727, 0.000292654375182909], ['Hereditary neuropathy NOT PMP22 copy number', 1.0, 0.03409090909090909, 0.03409090909090909], ['DDG2P', 0.3333333333333333, 0.0008382229673093043, 0.0002794076557697681]]"
